user_ID,Pseudo names,start_date,household_ID,survey_date_T1,survey_date_T2,study_duration,survey_duration_T1,survey_duration_T2,age,sex,degree,adults,children,does_groceries,diet,share_store,share_online,share_meal_box,share_veggie_box,share_farm_store,share_out-of-home,share_other,other_def,apps_used,apps_name,env_attitude_1_T1,env_attitude_1_T2,env_attitude_2_T1,env_attitude_2_T2,env_attitude_3_inv_T1,env_attitude_3_inv_T2,env_attitude_4_T1,env_attitude_4_T2,SelfEff_1_T1,SelfEff_1_T2,SelfEff_2_T1,SelfEff_2_T2,SelfEff_3_T1,SelfEff_3_T2,barriers_desc_T1,barriers_desc_T2,knowledge_1_score_T1,knowledge_1_score_T2,knowledge_2_score_T1,knowledge_2_score_T2,env_attitude_T1,env_attitude_T2,SelfEff_T1,SelfEff_T2,knowledge_score_T1,knowledge_score_T2,state_helped_goals,state_helped_control,state_helped_change,intention_1,intention_2,spillover_1,spillover_2,UX_1_supportive,UX_2_easy,UX_3_efficient,UX_4_clear,UX_5_exciting,UX_6_interesting,UX_7_inventive,UX_8_leading,state_accept_alt,state_use_future,intention,spillover,UX8,UX10,helpful
11,Emily,2023-04-24T11:00:00Z,1,2023-04-24T11:06:22Z,2023-05-18T08:37:46Z,23.8968055555556,244,200,25-34 years old,Woman,Master's degree,2,0,We do most groceries collectivily,Dairy free,almost all,none/very little,none/very little,none/very little,none/very little,some,yes,Local restaurant who does a food waste hamper,no,NA,agree,agree,somewhat agree,agree,strongly disagree,disagree,agree,agree,agree,agree,disagree,agree,agree,agree,NA,NA,42.86,92.86,58.33,66.67,6,6,4.666666666666667,6,50.595,79.765,agree,agree,agree,somewhat likely,Much,agree,somewhat agree,Supportive,Easy,Slightly efficient,Clear,Slightly exciting,Slightly interesting,Neither inventive nor conventional,Neither leading edge nor usual,Easy,agree,5.5,5.5,5,5.2,6
12,Rob,2023-04-25T10:30:00Z,2,2023-04-25T07:32:10Z,2023-05-17T09:38:28Z,22.0877083333333,267,316,25-34 years old,Man,Master's degree,2,0,I do,Omnivorous (no restrictions),about half,about half,none/very little,none/very little,none/very little,some,no,NA,no,NA,agree,agree,somewhat agree,somewhat agree,disagree,strongly disagree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,It's hard to know which items have a large carbon footprint outside of country of origin,"After having recent struggles with my weight, I am prioritising high calorie and high protein meals to maintain a healthy weight. This is being prioritised above eating less meat and eating more sustainably sourced foods, but as I become a more stable weight, I will slowly try to make small changes  to improve my foodprint",28.57,100,33.33,58.33,5.75,6,4.333333333333333,5,30.95,79.16499999999999,strongly agree,strongly agree,agree,somewhat likely,Much,somewhat agree,somewhat agree,Very supportive,Very easy,Very efficient,Very clear,Exciting,Very interesting,Inventive,Very leading edge,Very easy,strongly agree,5.5,5,6.75,6.8,6.666666666666667
13,Alice,2023-04-25T11:40:00Z,3,2023-04-24T19:52:12Z,2023-05-24T12:05:26Z,29.6758564814815,425,465,25-34 years old,non-binary,Master's degree,1,0,I do,Flexitarian,almost all,none/very little,none/very little,none/very little,some,some,yes,shared meals with friends,no,NA,agree,agree,somewhat agree,agree,somewhat disagree,somewhat disagree,agree,somewhat agree,agree,somewhat agree,disagree,somewhat disagree,somewhat disagree,somewhat disagree,"Lack of knowledge, low income, local food availability & taste","Access to foods, cost/finances, balancing with nutrition, mix of easy to store or cook and time to cook, and balancing environmental interests (low water consumption, low plastics).",57.14,100,75,95.83,5.5,5.5,3.6666666666666665,3.6666666666666665,66.07,97.91499999999999,neither agree nor disagree,somewhat agree,disagree,somewhat unlikely,Neither much nor little,somewhat agree,somewhat agree,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Slightly inventive,Slightly leading edge,Slightly easy,neither agree nor disagree,3.5,5,5.25,5.1,3.6666666666666665
14,Ben,2023-04-25T15:00:00Z,4,2023-04-25T11:09:45Z,2023-05-17T13:19:27Z,22.0900694444444,271,598,18-24 years old,Man,Bachelor's degree in college (4-year),1,0,I do,Flexitarian,almost all,none/very little,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,strongly agree,agree,agree,agree,strongly disagree,strongly agree,agree,agree,agree,somewhat disagree,somewhat agree,disagree,somewhat agree,Lack of knowledge about what changes make the most difference,Cost of cheaply produced food being significantly lower than locally/low footprint foods,50,71.43,33.33,50,5.5,6.5,3.6666666666666665,5.333333333333333,41.665,60.715,agree,agree,agree,somewhat likely,Very much,somewhat agree,somewhat agree,Supportive,Easy,Efficient,Moderately clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Slightly easy,strongly agree,6,5,5.875,5.9,6
16,Matt,2023-05-01T15:00:00Z,5,2023-05-01T17:09:34Z,2023-05-23T09:37:39Z,21.6861689814815,350,192,25-34 years old,Man,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Flexitarian,about half,none/very little,none/very little,about half,none/very little,some,no,NA,yes,WWF website,strongly agree,strongly agree,agree,agree,disagree,disagree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,disagree,agree,somewhat agree,agree,Somtimes budget and often easily accessible information,NA,35.71,71.43,62.5,66.67,6,6,3.3333333333333335,5.666666666666667,49.105000000000004,69.05000000000001,agree,agree,somewhat agree,likely,Very much,agree,agree,Supportive,Slightly easy,Very efficient,Very clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,strongly agree,6.5,6,6.25,6.2,5.666666666666667
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:37:48Z,2023-05-18T09:00:56Z,21.9327314814815,541,310,25-34 years old,Man,Master's degree,2,0,I do,Omnivorous (no restrictions),almost all,none/very little,none/very little,none/very little,none/very little,some,no,NA,yes,Co2.myclimate.org; ourworldindata; for travel the trip providers often have an estimate,somewhat agree,agree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,neither agree nor disagree,agree,"Personal effort, ease of accessibility on information, practicability",NA,50,85.71,83.33,50,5,5.5,4,5.333333333333333,66.66499999999999,67.85499999999999,agree,agree,somewhat agree,likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,Supportive,Easy,Efficient,Very clear,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly difficult,strongly agree,5.5,4,5.75,5.6,5.666666666666667
18,Chris,2023-04-26T13:30:00Z,7,2023-04-26T13:30:23Z,2023-05-25T09:21:34Z,28.8272106481481,337,500,55-64 years old,Man,Master's degree,1,0,I do,Vegetarian,most,none/very little,none/very little,none/very little,none/very little,some,no,NA,no,NA,somewhat agree,agree,somewhat agree,agree,disagree,disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,somewhat disagree,neither agree nor disagree,"Availability of options at local grocery stores (e.g. limited ranges, unavailable stock)","Lack of choice between higher and lower footprint options. For example, can't buy some types of frozen veg, only green veg available fresh is airfreighted, alternative swaps are not similar replacements.",85.71,92.86,62.5,83.33,5.25,5.75,3.6666666666666665,4.666666666666667,74.10499999999999,88.095,somewhat agree,agree,somewhat agree,somewhat likely,Somewhat much,somewhat agree,disagree,Supportive,Slightly complicated,Efficient,Very clear,Slightly exciting,Very interesting,Inventive,Slightly leading edge,Difficult,disagree,5,3.5,5.625,4.9,5.333333333333333
19,Mike,2023-04-26T18:30:00Z,1,2023-04-26T18:52:55Z,2023-05-22T08:39:33Z,25.5740509259259,312,1337,25-34 years old,Man,Master's degree,2,0,Another person in my household,Flexitarian,most,none/very little,none/very little,none/very little,none/very little,none/very little,yes,Food waste boxes about once a month,no,NA,agree,agree,agree,agree,disagree,disagree,agree,strongly agree,agree,strongly agree,somewhat agree,somewhat agree,agree,agree,NA,NA,57.14,71.43,75,79.17,6,6.25,5.666666666666667,6,66.07,75.30000000000001,agree,agree,agree,somewhat likely,Much,somewhat agree,somewhat agree,Slightly supportive,Easy,Efficient,Moderately clear,Neither exciting nor boring,Slightly interesting,Inventive,Slightly leading edge,Slightly difficult,agree,5.5,5,5.375,5.2,6
20,Tom,2023-04-27T16:00:00Z,8,2023-04-27T16:07:13Z,2023-05-18T17:08:54Z,21.0428356481481,322,331,25-34 years old,Man,Doctoral degree,1,0,We do most groceries collectivily,Flexitarian,about half,none/very little,some,about half,none/very little,none/very little,no,NA,no,NA,strongly agree,agree,strongly agree,agree,disagree,strongly disagree,strongly agree,strongly agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,agree,"availability of certain items, or knowing how to change the palette to what can be sourced locally (like seasonal vegetables)",NA,64.29,85.71,62.5,58.33,6.75,6.5,5.333333333333333,5.333333333333333,63.395,72.02,agree,somewhat agree,neither agree nor disagree,somewhat unlikely,Somewhat little,somewhat agree,disagree,Supportive,Easy,Very efficient,Very clear,Neither exciting nor boring,Interesting,Inventive,Slightly leading edge,Very easy,somewhat agree,3,3.5,5.875,5.9,5
21,Olivia,2023-05-01T17:30:00Z,9,2023-05-01T18:52:25Z,2023-05-25T11:51:53Z,23.707962962963,316,339,25-34 years old,Woman,"Professional degree (JD, MD)",2,0,We do most groceries collectivily,Pescaterian,some,most,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,strongly agree,agree,agree,disagree,strongly disagree,agree,strongly agree,agree,agree,somewhat disagree,somewhat agree,somewhat agree,somewhat agree,"Convenience, lack of effort on my part, feeling a bit overwhelmed by it",Knowing differences between certain foods and why ie. Different types of cheese,64.29,50,58.33,50,6.25,6.75,4.666666666666667,5.333333333333333,61.31,50,agree,strongly agree,strongly agree,very likely,Much,agree,agree,Neither supportive nor obstructive,Very easy,Efficient,Clear,Slightly exciting,Interesting,Very inventive,Very leading edge,Easy,strongly agree,6.5,6,5.875,6,6.666666666666667
22,Paul,2023-05-01T17:30:00Z,9,2023-05-01T18:52:22Z,2023-05-23T15:04:05Z,21.8414699074074,312,256,25-34 years old,Man,Doctoral degree,2,0,Another person in my household,Vegetarian,some,almost all,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,strongly agree,agree,agree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,agree,somewhat agree,agree,somewhat agree,somewhat agree,laziness,Laziness and the desire to eat out of season fruit/vegetables,42.86,100,25,58.33,6.5,6.75,5.666666666666667,5.666666666666667,33.93,79.16499999999999,agree,somewhat agree,neither agree nor disagree,somewhat likely,Somewhat much,somewhat agree,neither agree nor disagree,Slightly supportive,Very easy,Very efficient,Very clear,Slightly exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,agree,5,4.5,6.125,5.9,5
23,Jane,2023-05-02T12:00:00Z,10,2023-05-02T12:03:31Z,2023-05-23T15:57:17Z,21.162337962963,456,8203,25-34 years old,Woman,Doctoral degree,2,0,We do most groceries collectivily,Vegetarian,about half,none/very little,none/very little,about half,about half,some,yes,"French family sending us some food/treats every so often (chocolate, vinegar, nuts etc.)",no,NA,strongly agree,agree,agree,somewhat agree,strongly disagree,disagree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,agree,Maybe I don't know enough about how to do this efficiently or I don't read enough on the subject to feel informed enough.,NA,50,71.43,75,45.83,6.5,5.75,4.666666666666667,5.333333333333333,62.5,58.63,somewhat agree,agree,somewhat agree,likely,Somewhat much,strongly agree,somewhat agree,Neither supportive nor obstructive,Slightly easy,Slightly efficient,Clear,Exciting,Interesting,Inventive,Leading edge,Neither easy nor difficult,agree,5.5,6,5.375,5.3,5.333333333333333
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:11:29Z,2023-05-23T09:50:01Z,20.8184259259259,426,319,25-34 years old,Man,Master's degree,2,0,We do most groceries collectivily,Flexitarian,almost all,none/very little,none/very little,none/very little,none/very little,some,yes,Milk (twice a week) and eggs (once a week) delivered to house,no,NA,strongly agree,strongly agree,somewhat agree,somewhat agree,strongly disagree,strongly disagree,somewhat agree,agree,agree,agree,somewhat disagree,somewhat agree,somewhat agree,agree,Lack of knowledge/understanding,NA,71.43,100,62.5,91.67,6,6.25,4.666666666666667,5.666666666666667,66.965,95.83500000000001,agree,agree,agree,likely,Much,somewhat agree,neither agree nor disagree,Supportive,Easy,Efficient,Clear,Slightly exciting,Slightly interesting,Inventive,Leading edge,Difficult,agree,6,4.5,5.625,5.3,6
25,Henry,2023-05-09T12:30:00Z,10,2023-05-03T20:28:37Z,2023-05-23T11:24:03Z,19.6218287037037,588,311,25-34 years old,Man,Associate degree in college (2-year),2,0,We do most groceries collectivily,Vegetarian,about half,none/very little,none/very little,about half,none/very little,none/very little,no,NA,no,NA,agree,agree,agree,agree,somewhat disagree,disagree,agree,agree,disagree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat agree,The desire not to care,The good taste of middle class life !,28.57,57.14,41.67,45.83,5.75,6,4.333333333333333,5,35.120000000000005,51.485,agree,agree,somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,Supportive,Easy,Efficient,Clear,Exciting,Very interesting,Inventive,Leading edge,Slightly easy,strongly agree,5,4,6,6,5.666666666666667
26,Margy,2023-05-03T10:30:00Z,12,2023-05-03T10:44:55Z,2023-05-26T16:54:41Z,23.2567824074074,469,311,35-44 years old,Woman,Bachelor's degree in college (4-year),2,0,Another person in my household,Omnivorous (no restrictions),about half,about half,some,none/very little,none/very little,none/very little,no,NA,no,NA,agree,agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,somewhat disagree,somewhat agree,agree,agree,somewhat disagree,somewhat agree,somewhat disagree,somewhat agree,Packaging which food is wrapped in by the supermarkets and lack of knowledge of the alternatives.,Packaging of foods and lack of knowledge of the alternatives.,50,42.86,41.67,50,4.75,4.75,4,5.333333333333333,45.835,46.43,agree,agree,neither agree nor disagree,likely,Much,agree,agree,Very supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Very leading edge,Neither easy nor difficult,agree,6,6,6,5.8,5.333333333333333
27,Nick,2023-05-03T10:20:00Z,12,2023-05-03T10:44:55Z,2023-05-25T10:58:16Z,22.0092708333333,430,761,35-44 years old,Man,High school graduate (high school diploma or equivalent including GED),2,0,I do,Omnivorous (no restrictions),most,some,some,none/very little,none/very little,some,no,NA,no,NA,agree,agree,neither agree nor disagree,somewhat agree,disagree,somewhat disagree,somewhat agree,somewhat agree,agree,somewhat agree,disagree,agree,disagree,agree,Lack of information about foodprint,NA,64.29,85.71,50,70.83,5.25,5.25,3.3333333333333335,5.666666666666667,57.145,78.27,somewhat agree,strongly agree,somewhat agree,somewhat likely,Somewhat much,neither agree nor disagree,neither agree nor disagree,Supportive,Slightly easy,Slightly efficient,Clear,Neither exciting nor boring,Very interesting,Slightly inventive,Neither leading edge nor usual,Slightly easy,agree,5,4,5.125,5.2,5.666666666666667
28,James,2023-05-03T17:30:00Z,13,2023-05-03T17:40:16Z,2023-06-01T10:48:12Z,28.7138425925926,542,396,55-64 years old,Man,Bachelor's degree in college (4-year),3,0,I do,Pescaterian,some,most,about half,none/very little,none/very little,some,no,NA,no,NA,agree,agree,somewhat agree,somewhat agree,strongly disagree,disagree,somewhat disagree,somewhat agree,somewhat agree,agree,somewhat disagree,somewhat agree,somewhat agree,somewhat agree,time and effort,"knowledge, time, Â£",28.57,85.71,25,45.83,5.25,5.5,4.333333333333333,5.333333333333333,26.785,65.77,somewhat agree,somewhat agree,neither agree nor disagree,somewhat likely,Neither much nor little,somewhat agree,somewhat agree,Slightly supportive,Easy,Efficient,Clear,Slightly exciting,Interesting,Inventive,Slightly leading edge,Slightly easy,somewhat agree,4.5,5,5.5,5.4,4.666666666666667
29,Sara,2023-05-04T09:00:00Z,14,2023-05-04T09:09:37Z,2023-05-31T16:14:29Z,27.2950462962963,352,1297,25-34 years old,Woman,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Vegetarian,some,none/very little,none/very little,some,some,some,yes,street market stalls,no,NA,strongly agree,strongly agree,strongly agree,agree,disagree,disagree,strongly agree,agree,strongly agree,strongly agree,neither agree nor disagree,somewhat agree,agree,somewhat agree,NA,"access to low carbon footprint stores/shops, time",57.14,42.86,37.5,70.83,6.75,6.25,5.666666666666667,5.666666666666667,47.32,56.845,agree,agree,agree,likely,Much,agree,somewhat agree,Supportive,Easy,Slightly efficient,Clear,Exciting,Interesting,Inventive,Slightly leading edge,Very easy,strongly agree,6,5.5,5.625,5.9,6
30,Simon,2023-05-04T09:00:00Z,14,2023-05-04T09:07:27Z,2023-05-26T12:05:44Z,22.1238078703704,632,312,25-34 years old,Man,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Omnivorous (no restrictions),about half,none/very little,none/very little,about half,some,none/very little,no,NA,no,NA,agree,agree,somewhat agree,somewhat agree,strongly disagree,disagree,somewhat agree,somewhat agree,somewhat agree,agree,agree,agree,somewhat agree,agree,Cost and ease of use. Generally eat low foodprint vegetables (and some fruit). But low foodprint meat is generally from traditional outlets e.g. butchers which are open 9-5 (working hours) and generally more expensive.,NA,7.14,100,58.33,91.67,5.75,5.5,5.333333333333333,6,32.735,95.83500000000001,agree,strongly agree,strongly agree,likely,Much,disagree,disagree,Very supportive,Very easy,Very efficient,Moderately clear,Exciting,Very interesting,Inventive,Leading edge,Easy,strongly agree,6,2,6.5,6.5,6.666666666666667
32,Dan,2023-05-05T09:00:00Z,15,2023-05-09T12:04:22Z,2023-06-09T09:44:21Z,30.9027662037037,316,634,35-44 years old,Man,Doctoral degree,2,2,I do,Omnivorous (no restrictions),about half,about half,none/very little,none/very little,none/very little,some,no,NA,no,NA,agree,agree,neither agree nor disagree,somewhat agree,somewhat disagree,disagree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,agree,lack of knowledge about the carbon impact of some choices,NA,78.57,85.71,66.67,41.67,5,5.5,4,5.666666666666667,72.62,63.69,agree,agree,agree,likely,Somewhat much,somewhat agree,somewhat agree,Neither supportive nor obstructive,Slightly easy,Slightly inefficient,Clear,Slightly exciting,Very interesting,Slightly inventive,Slightly leading edge,Slightly difficult,agree,5.5,5,4.875,4.8,6
31,Emma,2023-05-03T17:30:00Z,13,2023-05-05T09:05:11Z,2023-05-27T07:06:53Z,21.9178472222222,179,294,55-64 years old,Man,Bachelor's degree in college (4-year),2,0,We do most groceries collectivily,Omnivorous (no restrictions),almost all,some,none/very little,none/very little,none/very little,none/very little,no,NA,no,NA,strongly agree,agree,agree,agree,strongly disagree,disagree,strongly agree,agree,strongly agree,agree,agree,somewhat agree,strongly agree,agree,NA,NA,28.57,78.57,50,54.17,6.75,6,6.666666666666667,5.666666666666667,39.285,66.37,agree,somewhat agree,somewhat agree,likely,Very much,neither agree nor disagree,neither agree nor disagree,Supportive,Slightly complicated,Neither efficient nor inefficient,Confusing,Slightly exciting,Interesting,Slightly inventive,Slightly leading edge,Slightly easy,agree,6.5,4,4.625,4.8,5.333333333333333
33,Mark,2023-05-09T12:00:00Z,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
